State,District,Year,Quarter,RegisteredUsers,S.no,Appopens
arunachal-pradesh,"lohit district",2019,2,5485,455,32550
arunachal-pradesh,"lepa rada district",2019,2,903,456,4196
arunachal-pradesh,"lower dibang valley district",2019,2,2842,457,12669
arunachal-pradesh,"longding district",2019,2,1420,458,13256
arunachal-pradesh,"west siang district",2019,2,3393,459,15972
arunachal-pradesh,"kamle district",2019,2,212,460,972
arunachal-pradesh,"upper siang district",2019,2,1372,461,2710
arunachal-pradesh,"kurung kumey district",2019,2,481,462,2171
arunachal-pradesh,"siang district",2019,2,831,463,3209
arunachal-pradesh,"kra daadi district",2019,2,440,464,2639
arunachal-pradesh,"changlang district",2019,2,6884,465,37725
arunachal-pradesh,"pakke kessang district",2019,2,211,466,1237
arunachal-pradesh,"east siang district",2019,2,7319,467,34596
arunachal-pradesh,"upper subansiri district",2019,2,2355,468,9043
arunachal-pradesh,"tawang district",2019,2,5908,469,32103
arunachal-pradesh,"namsai district",2019,2,3914,470,18627
arunachal-pradesh,"lower subansiri district",2019,3,2928,471,42877
arunachal-pradesh,"tirap district",2019,3,3099,472,49222
arunachal-pradesh,"papum pare district",2019,3,38845,473,582435
arunachal-pradesh,"anjaw district",2019,3,1358,474,19509
arunachal-pradesh,"lower siang district",2019,3,1689,475,25736
arunachal-pradesh,"dibang valley district",2019,3,271,476,1436
arunachal-pradesh,"west kameng district",2019,3,11186,477,260068
arunachal-pradesh,"shi yomi district",2019,3,239,478,158
arunachal-pradesh,"east kameng district",2019,3,1304,479,19974
arunachal-pradesh,"lohit district",2019,3,6421,480,112322
arunachal-pradesh,"lepa rada district",2019,3,1064,481,13695
arunachal-pradesh,"lower dibang valley district",2019,3,3398,482,43057
arunachal-pradesh,"longding district",2019,3,1634,483,46571
arunachal-pradesh,"west siang district",2019,3,4101,484,64241
arunachal-pradesh,"kamle district",2019,3,258,485,3686
arunachal-pradesh,"upper siang district",2019,3,1486,486,8960
arunachal-pradesh,"kurung kumey district",2019,3,572,487,8396
arunachal-pradesh,"siang district",2019,3,948,488,13437
arunachal-pradesh,"kra daadi district",2019,3,524,489,11363
arunachal-pradesh,"changlang district",2019,3,8145,490,139098
arunachal-pradesh,"pakke kessang district",2019,3,244,491,5099
arunachal-pradesh,"east siang district",2019,3,8571,492,118071
arunachal-pradesh,"upper subansiri district",2019,3,2748,493,35114
arunachal-pradesh,"tawang district",2019,3,6553,494,114907
arunachal-pradesh,"namsai district",2019,3,4563,495,72268
arunachal-pradesh,"lower subansiri district",2019,4,3564,496,53396
arunachal-pradesh,"tirap district",2019,4,3605,497,67097
arunachal-pradesh,"papum pare district",2019,4,44746,498,670934
arunachal-pradesh,"anjaw district",2019,4,1564,499,23729
arunachal-pradesh,"lower siang district",2019,4,1921,500,28156
arunachal-pradesh,"dibang valley district",2019,4,289,501,1738
arunachal-pradesh,"west kameng district",2019,4,12562,502,313584
arunachal-pradesh,"shi yomi district",2019,4,266,503,880
arunachal-pradesh,"east kameng district",2019,4,1623,504,27850
arunachal-pradesh,"lohit district",2019,4,7386,505,129353
arunachal-pradesh,"lepa rada district",2019,4,1263,506,20798
arunachal-pradesh,"lower dibang valley district",2019,4,3944,507,50034
arunachal-pradesh,"longding district",2019,4,1847,508,48945
arunachal-pradesh,"west siang district",2019,4,4773,509,70790
arunachal-pradesh,"kamle district",2019,4,323,510,5098
arunachal-pradesh,"upper siang district",2019,4,1804,511,26060
arunachal-pradesh,"kurung kumey district",2019,4,653,512,7904
arunachal-pradesh,"siang district",2019,4,1131,513,19220
arunachal-pradesh,"kra daadi district",2019,4,603,514,13700
arunachal-pradesh,"changlang district",2019,4,9662,515,152680
arunachal-pradesh,"pakke kessang district",2019,4,296,516,5981
arunachal-pradesh,"east siang district",2019,4,9859,517,132534
arunachal-pradesh,"upper subansiri district",2019,4,3144,518,42354
arunachal-pradesh,"tawang district",2019,4,7303,519,139898
arunachal-pradesh,"namsai district",2019,4,5190,520,87627
arunachal-pradesh,"lower subansiri district",2020,1,4351,521,72887
arunachal-pradesh,"tirap district",2020,1,4261,522,76554
arunachal-pradesh,"papum pare district",2020,1,51342,523,819599
arunachal-pradesh,"anjaw district",2020,1,1747,524,25453
arunachal-pradesh,"lower siang district",2020,1,2201,525,35216
arunachal-pradesh,"dibang valley district",2020,1,320,526,2195
arunachal-pradesh,"west kameng district",2020,1,13983,527,332479
arunachal-pradesh,"shi yomi district",2020,1,290,528,989
arunachal-pradesh,"east kameng district",2020,1,1962,529,37103
arunachal-pradesh,"lohit district",2020,1,8454,530,159158
arunachal-pradesh,"lepa rada district",2020,1,1532,531,28280
arunachal-pradesh,"lower dibang valley district",2020,1,4650,532,71091
arunachal-pradesh,"longding district",2020,1,2201,533,58817
arunachal-pradesh,"west siang district",2020,1,5757,534,97255
arunachal-pradesh,"kamle district",2020,1,373,535,7135
arunachal-pradesh,"upper siang district",2020,1,2143,536,37600
arunachal-pradesh,"kurung kumey district",2020,1,725,537,11471
arunachal-pradesh,"siang district",2020,1,1390,538,24530
arunachal-pradesh,"kra daadi district",2020,1,701,539,16770
arunachal-pradesh,"changlang district",2020,1,11262,540,201632
arunachal-pradesh,"pakke kessang district",2020,1,371,541,9758
arunachal-pradesh,"east siang district",2020,1,11298,542,167166
arunachal-pradesh,"upper subansiri district",2020,1,3675,543,56522
arunachal-pradesh,"tawang district",2020,1,8048,544,138728
arunachal-pradesh,"namsai district",2020,1,6029,545,109933
arunachal-pradesh,"lower subansiri district",2020,2,5392,546,108893
arunachal-pradesh,"tirap district",2020,2,5239,547,114770
arunachal-pradesh,"papum pare district",2020,2,59968,548,932769
arunachal-pradesh,"anjaw district",2020,2,1961,549,34903
arunachal-pradesh,"lower siang district",2020,2,2644,550,48738
arunachal-pradesh,"dibang valley district",2020,2,367,551,4076
arunachal-pradesh,"west kameng district",2020,2,15766,552,394250
arunachal-pradesh,"shi yomi district",2020,2,320,553,1597
arunachal-pradesh,"east kameng district",2020,2,2506,554,53112
arunachal-pradesh,"lohit district",2020,2,10154,555,219948
arunachal-pradesh,"lepa rada district",2020,2,1890,556,38098
arunachal-pradesh,"lower dibang valley district",2020,2,5782,557,110670
arunachal-pradesh,"longding district",2020,2,2751,558,86086
arunachal-pradesh,"west siang district",2020,2,7239,559,147515
arunachal-pradesh,"kamle district",2020,2,509,560,11566
arunachal-pradesh,"upper siang district",2020,2,2552,561,54123
arunachal-pradesh,"kurung kumey district",2020,2,834,562,16738
arunachal-pradesh,"siang district",2020,2,1831,563,40101
arunachal-pradesh,"kra daadi district",2020,2,870,564,25480
arunachal-pradesh,"changlang district",2020,2,14036,565,293705
arunachal-pradesh,"pakke kessang district",2020,2,438,566,13500
arunachal-pradesh,"east siang district",2020,2,13601,567,235755
arunachal-pradesh,"upper subansiri district",2020,2,4465,568,80310
arunachal-pradesh,"tawang district",2020,2,8993,569,170812
arunachal-pradesh,"namsai district",2020,2,7426,570,149491
arunachal-pradesh,"lower subansiri district",2020,3,6456,571,117359
arunachal-pradesh,"tirap district",2020,3,6119,572,125437
arunachal-pradesh,"papum pare district",2020,3,69419,573,1157730
arunachal-pradesh,"anjaw district",2020,3,2226,574,42320
arunachal-pradesh,"lower siang district",2020,3,2983,575,51520
arunachal-pradesh,"dibang valley district",2020,3,411,576,4634
arunachal-pradesh,"west kameng district",2020,3,17636,577,461190
arunachal-pradesh,"shi yomi district",2020,3,337,578,2788
arunachal-pradesh,"east kameng district",2020,3,3169,579,63062
arunachal-pradesh,"lohit district",2020,3,11755,580,264444
arunachal-pradesh,"lepa rada district",2020,3,2304,581,47233
arunachal-pradesh,"lower dibang valley district",2020,3,6799,582,117752
arunachal-pradesh,"longding district",2020,3,3277,583,91330
arunachal-pradesh,"west siang district",2020,3,8623,584,158496
arunachal-pradesh,"kamle district",2020,3,639,585,12196
arunachal-pradesh,"upper siang district",2020,3,3011,586,59246
arunachal-pradesh,"kurung kumey district",2020,3,1025,587,18583
arunachal-pradesh,"siang district",2020,3,2225,588,42723
arunachal-pradesh,"kra daadi district",2020,3,1026,589,29126
arunachal-pradesh,"changlang district",2020,3,16385,590,326045
arunachal-pradesh,"pakke kessang district",2020,3,508,591,11721
arunachal-pradesh,"east siang district",2020,3,15921,592,302165
arunachal-pradesh,"upper subansiri district",2020,3,5295,593,106598
arunachal-pradesh,"tawang district",2020,3,9944,594,224583
arunachal-pradesh,"namsai district",2020,3,8553,595,165140
arunachal-pradesh,"lower subansiri district",2020,4,7388,596,124398
arunachal-pradesh,"tirap district",2020,4,6805,597,134124
arunachal-pradesh,"papum pare district",2020,4,77936,598,1397025
arunachal-pradesh,"anjaw district",2020,4,2485,599,61121
arunachal-pradesh,"lower siang district",2020,4,3320,600,54476
arunachal-pradesh,"dibang valley district",2020,4,444,601,7677
arunachal-pradesh,"west kameng district",2020,4,19464,602,455337
arunachal-pradesh,"shi yomi district",2020,4,370,603,5847
arunachal-pradesh,"east kameng district",2020,4,3638,604,62876
arunachal-pradesh,"lohit district",2020,4,13126,605,285992
arunachal-pradesh,"lepa rada district",2020,4,2735,606,57036
arunachal-pradesh,"lower dibang valley district",2020,4,7693,607,132469
arunachal-pradesh,"longding district",2020,4,3753,608,87881
arunachal-pradesh,"west siang district",2020,4,9911,609,180696
arunachal-pradesh,"kamle district",2020,4,745,610,14866
arunachal-pradesh,"upper siang district",2020,4,3497,611,80140
arunachal-pradesh,"kurung kumey district",2020,4,1173,612,21168
arunachal-pradesh,"siang district",2020,4,2635,613,48090
arunachal-pradesh,"kra daadi district",2020,4,1141,614,27924
arunachal-pradesh,"changlang district",2020,4,18203,615,320708
arunachal-pradesh,"pakke kessang district",2020,4,593,616,11458
arunachal-pradesh,"east siang district",2020,4,17822,617,349321
arunachal-pradesh,"upper subansiri district",2020,4,6069,618,125505
arunachal-pradesh,"tawang district",2020,4,10909,619,249095
arunachal-pradesh,"namsai district",2020,4,9437,620,177437
arunachal-pradesh,"lower subansiri district",2021,1,8044,621,136547
arunachal-pradesh,"tirap district",2021,1,7376,622,136247
arunachal-pradesh,"papum pare district",2021,1,84715,623,1553363
arunachal-pradesh,"anjaw district",2021,1,2660,624,55283
arunachal-pradesh,"lower siang district",2021,1,3594,625,61226
arunachal-pradesh,"dibang valley district",2021,1,478,626,9538
arunachal-pradesh,"west kameng district",2021,1,21027,627,483047
arunachal-pradesh,"shi yomi district",2021,1,390,628,7228
arunachal-pradesh,"east kameng district",2021,1,3990,629,69455
arunachal-pradesh,"lohit district",2021,1,14231,630,295880
arunachal-pradesh,"lepa rada district",2021,1,3008,631,68424
arunachal-pradesh,"lower dibang valley district",2021,1,8402,632,145425
arunachal-pradesh,"longding district",2021,1,4117,633,92482
arunachal-pradesh,"west siang district",2021,1,10836,634,191242
arunachal-pradesh,"kamle district",2021,1,814,635,16142
arunachal-pradesh,"upper siang district",2021,1,3847,636,87503
arunachal-pradesh,"kurung kumey district",2021,1,1287,637,25911
arunachal-pradesh,"siang district",2021,1,2878,638,56271
arunachal-pradesh,"kra daadi district",2021,1,1244,639,30137
arunachal-pradesh,"changlang district",2021,1,19716,640,344148
arunachal-pradesh,"pakke kessang district",2021,1,647,641,14995
arunachal-pradesh,"east siang district",2021,1,19342,642,363085
arunachal-pradesh,"upper subansiri district",2021,1,6577,643,122422
arunachal-pradesh,"tawang district",2021,1,11778,644,230123
arunachal-pradesh,"namsai district",2021,1,10242,645,200584
arunachal-pradesh,"lower subansiri district",2021,2,8685,646,444426
arunachal-pradesh,"tirap district",2021,2,7955,647,547430
arunachal-pradesh,"papum pare district",2021,2,90871,648,1786163
arunachal-pradesh,"anjaw district",2021,2,2866,649,174807
arunachal-pradesh,"lower siang district",2021,2,3872,650,246789
arunachal-pradesh,"dibang valley district",2021,2,516,651,77457
arunachal-pradesh,"west kameng district",2021,2,22625,652,1490269
arunachal-pradesh,"shi yomi district",2021,2,430,653,99619
arunachal-pradesh,"east kameng district",2021,2,4314,654,221705
arunachal-pradesh,"lohit district",2021,2,15360,655,1008718
arunachal-pradesh,"lepa rada district",2021,2,3249,656,228236
arunachal-pradesh,"lower dibang valley district",2021,2,9094,657,434361
arunachal-pradesh,"longding district",2021,2,4456,658,495881
arunachal-pradesh,"west siang district",2021,2,11657,659,467127
arunachal-pradesh,"kamle district",2021,2,883,660,164726
arunachal-pradesh,"upper siang district",2021,2,4145,661,428792
arunachal-pradesh,"kurung kumey district",2021,2,1398,662,201782
arunachal-pradesh,"siang district",2021,2,3116,663,410979
arunachal-pradesh,"kra daadi district",2021,2,1353,664,150762
arunachal-pradesh,"changlang district",2021,2,21404,665,1212334
arunachal-pradesh,"pakke kessang district",2021,2,702,666,156638
arunachal-pradesh,"east siang district",2021,2,20817,667,855042
arunachal-pradesh,"upper subansiri district",2021,2,7057,668,293916
arunachal-pradesh,"tawang district",2021,2,12636,669,830993
arunachal-pradesh,"namsai district",2021,2,11111,670,596897
arunachal-pradesh,"lower subansiri district",2021,3,9451,671,558377
arunachal-pradesh,"tirap district",2021,3,8665,672,578706
arunachal-pradesh,"papum pare district",2021,3,97854,673,2308276
arunachal-pradesh,"anjaw district",2021,3,3099,674,267726
arunachal-pradesh,"lower siang district",2021,3,4229,675,347190
arunachal-pradesh,"dibang valley district",2021,3,571,676,113574
arunachal-pradesh,"west kameng district",2021,3,24489,677,2155265
arunachal-pradesh,"shi yomi district",2021,3,473,678,181457
arunachal-pradesh,"east kameng district",2021,3,4671,679,265900
arunachal-pradesh,"lohit district",2021,3,16680,680,1408514
arunachal-pradesh,"lepa rada district",2021,3,3527,681,264771
arunachal-pradesh,"lower dibang valley district",2021,3,9920,682,581463
arunachal-pradesh,"longding district",2021,3,4890,683,594284
arunachal-pradesh,"west siang district",2021,3,12616,684,544772
arunachal-pradesh,"kamle district",2021,3,974,685,203013
arunachal-pradesh,"upper siang district",2021,3,4506,686,556857
arunachal-pradesh,"kurung kumey district",2021,3,1509,687,292922
arunachal-pradesh,"siang district",2021,3,3396,688,433332
arunachal-pradesh,"kra daadi district",2021,3,1475,689,179974
arunachal-pradesh,"changlang district",2021,3,23328,690,1668215
arunachal-pradesh,"pakke kessang district",2021,3,770,691,213423
arunachal-pradesh,"east siang district",2021,3,22538,692,1086775
arunachal-pradesh,"upper subansiri district",2021,3,7652,693,375423
arunachal-pradesh,"tawang district",2021,3,13650,694,1355010
arunachal-pradesh,"namsai district",2021,3,12140,695,674435
arunachal-pradesh,"lower subansiri district",2021,4,10187,696,348485
arunachal-pradesh,"tirap district",2021,4,9331,697,311867
arunachal-pradesh,"papum pare district",2021,4,104806,698,3554385
arunachal-pradesh,"anjaw district",2021,4,3342,699,125753
arunachal-pradesh,"lower siang district",2021,4,4550,700,156209
arunachal-pradesh,"dibang valley district",2021,4,621,701,18166
arunachal-pradesh,"west kameng district",2021,4,26237,702,1160379
arunachal-pradesh,"shi yomi district",2021,4,498,703,15201
arunachal-pradesh,"east kameng district",2021,4,5027,704,153109
arunachal-pradesh,"lohit district",2021,4,17980,705,728676
arunachal-pradesh,"lepa rada district",2021,4,3810,706,168938
arunachal-pradesh,"lower dibang valley district",2021,4,10679,707,341060
arunachal-pradesh,"longding district",2021,4,5345,708,215529
arunachal-pradesh,"west siang district",2021,4,13555,709,389171
arunachal-pradesh,"kamle district",2021,4,1069,710,48042
arunachal-pradesh,"upper siang district",2021,4,4850,711,208167
arunachal-pradesh,"kurung kumey district",2021,4,1633,712,54213
arunachal-pradesh,"siang district",2021,4,3675,713,121770
arunachal-pradesh,"kra daadi district",2021,4,1593,714,63448
arunachal-pradesh,"changlang district",2021,4,25155,715,829350
arunachal-pradesh,"pakke kessang district",2021,4,835,716,35976
arunachal-pradesh,"east siang district",2021,4,24208,717,897713
arunachal-pradesh,"upper subansiri district",2021,4,8201,718,240330
arunachal-pradesh,"tawang district",2021,4,14665,719,506240
arunachal-pradesh,"namsai district",2021,4,13092,720,538118
arunachal-pradesh,"lower subansiri district",2022,1,10854,721,1566925
arunachal-pradesh,"tirap district",2022,1,9972,722,1634844
arunachal-pradesh,"papum pare district",2022,1,111271,723,3209286
arunachal-pradesh,"anjaw district",2022,1,3560,724,640611
arunachal-pradesh,"lower siang district",2022,1,4882,725,1085994
arunachal-pradesh,"dibang valley district",2022,1,656,726,267633
arunachal-pradesh,"west kameng district",2022,1,27860,727,4098935
arunachal-pradesh,"shi yomi district",2022,1,540,728,230973
arunachal-pradesh,"east kameng district",2022,1,5355,729,703590
arunachal-pradesh,"lohit district",2022,1,19214,730,3212352
arunachal-pradesh,"lepa rada district",2022,1,4049,731,1182371
arunachal-pradesh,"lower dibang valley district",2022,1,11401,732,1918566
arunachal-pradesh,"longding district",2022,1,5700,733,1728795
arunachal-pradesh,"west siang district",2022,1,14420,734,1420049
arunachal-pradesh,"kamle district",2022,1,1144,735,758412
arunachal-pradesh,"upper siang district",2022,1,5146,736,2047229
arunachal-pradesh,"kurung kumey district",2022,1,1744,737,845626
arunachal-pradesh,"siang district",2022,1,3942,738,1227784
arunachal-pradesh,"kra daadi district",2022,1,1701,739,720274
arunachal-pradesh,"changlang district",2022,1,26904,740,4323291
arunachal-pradesh,"pakke kessang district",2022,1,887,741,770322
arunachal-pradesh,"east siang district",2022,1,25763,742,3444101
arunachal-pradesh,"upper subansiri district",2022,1,8731,743,921019
arunachal-pradesh,"tawang district",2022,1,15589,744,1922991
arunachal-pradesh,"namsai district",2022,1,14054,745,1536586
arunachal-pradesh,"lower subansiri district",2022,2,11479,746,1637036
arunachal-pradesh,"tirap district",2022,2,10538,747,2173316
arunachal-pradesh,"papum pare district",2022,2,117568,748,3870115
arunachal-pradesh,"anjaw district",2022,2,3769,749,942878
arunachal-pradesh,"lower siang district",2022,2,5161,750,1296404
arunachal-pradesh,"dibang valley district",2022,2,701,751,212502
arunachal-pradesh,"west kameng district",2022,2,29424,752,5493311
arunachal-pradesh,"shi yomi district",2022,2,575,753,197796
arunachal-pradesh,"east kameng district",2022,2,5680,754,791335
arunachal-pradesh,"lohit district",2022,2,20325,755,3608724
arunachal-pradesh,"lepa rada district",2022,2,4265,756,1110684
arunachal-pradesh,"lower dibang valley district",2022,2,12040,757,2045531
arunachal-pradesh,"longding district",2022,2,6034,758,1821245
arunachal-pradesh,"west siang district",2022,2,15231,759,1555876
arunachal-pradesh,"kamle district",2022,2,1210,760,1066185
arunachal-pradesh,"upper siang district",2022,2,5440,761,2396815
arunachal-pradesh,"kurung kumey district",2022,2,1854,762,734369
arunachal-pradesh,"siang district",2022,2,4160,763,1500428
arunachal-pradesh,"kra daadi district",2022,2,1797,764,724575
arunachal-pradesh,"changlang district",2022,2,28495,765,5476741
arunachal-pradesh,"pakke kessang district",2022,2,945,766,590302
arunachal-pradesh,"east siang district",2022,2,27240,767,3704889
arunachal-pradesh,"upper subansiri district",2022,2,9235,768,1261876
arunachal-pradesh,"tawang district",2022,2,16475,769,3393271
arunachal-pradesh,"namsai district",2022,2,14887,770,2283314
arunachal-pradesh,"lower subansiri district",2022,3,12085,771,2475131
arunachal-pradesh,"tirap district",2022,3,11115,772,2414601
arunachal-pradesh,"papum pare district",2022,3,124095,773,4843797
arunachal-pradesh,"anjaw district",2022,3,3966,774,844043
arunachal-pradesh,"lower siang district",2022,3,5436,775,1508192
arunachal-pradesh,"dibang valley district",2022,3,740,776,285052
arunachal-pradesh,"west kameng district",2022,3,30964,777,7334928
arunachal-pradesh,"shi yomi district",2022,3,598,778,312490
arunachal-pradesh,"east kameng district",2022,3,5997,779,1054633
arunachal-pradesh,"lohit district",2022,3,21385,780,4282624
arunachal-pradesh,"lepa rada district",2022,3,4510,781,1208942
arunachal-pradesh,"lower dibang valley district",2022,3,12668,782,2160151
arunachal-pradesh,"longding district",2022,3,6321,783,2587741
arunachal-pradesh,"west siang district",2022,3,16063,784,1637984
arunachal-pradesh,"kamle district",2022,3,1262,785,1335449
arunachal-pradesh,"upper siang district",2022,3,5690,786,2257253
arunachal-pradesh,"kurung kumey district",2022,3,1936,787,861405
arunachal-pradesh,"siang district",2022,3,4369,788,1681957
arunachal-pradesh,"kra daadi district",2022,3,1893,789,1436202
arunachal-pradesh,"changlang district",2022,3,29965,790,5703178
arunachal-pradesh,"pakke kessang district",2022,3,980,791,1039686
arunachal-pradesh,"east siang district",2022,3,28698,792,3767855
arunachal-pradesh,"upper subansiri district",2022,3,9713,793,1535818
arunachal-pradesh,"tawang district",2022,3,17281,794,4728673
arunachal-pradesh,"namsai district",2022,3,15642,795,2424843
arunachal-pradesh,"lower subansiri district",2022,4,12630,796,833741
arunachal-pradesh,"tirap district",2022,4,11584,797,645541
arunachal-pradesh,"papum pare district",2022,4,130306,798,6605350
arunachal-pradesh,"anjaw district",2022,4,4105,799,197829
arunachal-pradesh,"lower siang district",2022,4,5633,800,318731
arunachal-pradesh,"dibang valley district",2022,4,752,801,15469
arunachal-pradesh,"west kameng district",2022,4,32237,802,2129051
arunachal-pradesh,"shi yomi district",2022,4,615,803,25308
arunachal-pradesh,"east kameng district",2022,4,6307,804,390756
arunachal-pradesh,"lohit district",2022,4,22359,805,1441490
arunachal-pradesh,"lepa rada district",2022,4,4730,806,345752
arunachal-pradesh,"lower dibang valley district",2022,4,13188,807,799856
arunachal-pradesh,"longding district",2022,4,6590,808,442997
arunachal-pradesh,"west siang district",2022,4,16816,809,964082
arunachal-pradesh,"kamle district",2022,4,1301,810,131540
arunachal-pradesh,"upper siang district",2022,4,5930,811,277877
arunachal-pradesh,"kurung kumey district",2022,4,2008,812,72926
arunachal-pradesh,"siang district",2022,4,4500,813,277881
arunachal-pradesh,"kra daadi district",2022,4,1960,814,131838
arunachal-pradesh,"changlang district",2022,4,31196,815,1611653
arunachal-pradesh,"pakke kessang district",2022,4,1013,816,72545
arunachal-pradesh,"east siang district",2022,4,30033,817,1542563
arunachal-pradesh,"upper subansiri district",2022,4,10189,818,456906
arunachal-pradesh,"tawang district",2022,4,18003,819,947132
arunachal-pradesh,"namsai district",2022,4,16322,820,1096224
assam,"tinsukia district",2018,1,15998,821,0
assam,"lakhimpur district",2018,1,8143,822,0
assam,"kamrup district",2018,1,15241,823,0
assam,"kokrajhar district",2018,1,6566,824,0
assam,"karbi anglong district",2018,1,5694,825,0
assam,"sivasagar district",2018,1,8292,826,0
assam,"dibrugarh district",2018,1,21182,827,0
assam,"south salmara mancachar district",2018,1,2420,828,0
assam,"nagaon district",2018,1,19619,829,0
assam,"dhubri district",2018,1,11421,830,0
assam,"golaghat district",2018,1,10102,831,0
assam,"udalguri district",2018,1,4768,832,0
assam,"majuli district",2018,1,1274,833,0
assam,"sonitpur district",2018,1,18986,834,0
assam,"hojai district",2018,1,7571,835,0
assam,"marigaon district",2018,1,7193,836,0
assam,"chirang district",2018,1,3487,837,0
assam,"cachar district",2018,1,19567,838,0
assam,"nalbari district",2018,1,6874,839,0
assam,"west karbi anglong district",2018,1,835,840,0
assam,"dhemaji district",2018,1,6623,841,0
assam,"karimganj district",2018,1,7367,842,0
assam,"bongaigaon district",2018,1,9724,843,0
assam,"dima hasao district",2018,1,2245,844,0
assam,"baksa district",2018,1,6082,845,0
assam,"charaideo district",2018,1,4366,846,0
assam,"darrang district",2018,1,8050,847,0
assam,"kamrup metropolitan district",2018,1,87336,848,0
assam,"hailakandi district",2018,1,5700,849,0
assam,"barpeta district",2018,1,20485,850,0
assam,"goalpara district",2018,1,10420,851,0
assam,"biswanath district",2018,1,5164,852,0
assam,"jorhat district",2018,1,16442,853,0
assam,"tinsukia district",2018,2,23900,854,0
assam,"lakhimpur district",2018,2,12719,855,0
assam,"kamrup district",2018,2,23595,856,0
assam,"kokrajhar district",2018,2,9480,857,0
assam,"karbi anglong district",2018,2,8725,858,0
assam,"sivasagar district",2018,2,12596,859,0
assam,"dibrugarh district",2018,2,30527,860,0
assam,"south salmara mancachar district",2018,2,3557,861,0
assam,"nagaon district",2018,2,29412,862,0
assam,"dhubri district",2018,2,16701,863,0
assam,"golaghat district",2018,2,15237,864,0
assam,"udalguri district",2018,2,7691,865,0
assam,"majuli district",2018,2,1927,866,0
assam,"sonitpur district",2018,2,28409,867,0
assam,"hojai district",2018,2,10903,868,0
assam,"marigaon district",2018,2,11217,869,0
assam,"chirang district",2018,2,5105,870,0
assam,"cachar district",2018,2,29381,871,0
assam,"nalbari district",2018,2,10898,872,0
assam,"west karbi anglong district",2018,2,1406,873,0
assam,"dhemaji district",2018,2,10157,874,0
assam,"karimganj district",2018,2,11732,875,0
assam,"bongaigaon district",2018,2,14065,876,0
assam,"dima hasao district",2018,2,3404,877,0
assam,"baksa district",2018,2,9739,878,0
assam,"charaideo district",2018,2,6693,879,0
assam,"darrang district",2018,2,11954,880,0
assam,"kamrup metropolitan district",2018,2,124720,881,0
assam,"hailakandi district",2018,2,8687,882,0
assam,"barpeta district",2018,2,29882,883,0
assam,"goalpara district",2018,2,14974,884,0
assam,"biswanath district",2018,2,7970,885,0
assam,"jorhat district",2018,2,23683,886,0
assam,"tinsukia district",2018,3,32870,887,0
assam,"lakhimpur district",2018,3,18337,888,0
assam,"kamrup district",2018,3,33197,889,0
assam,"kokrajhar district",2018,3,13164,890,0
assam,"karbi anglong district",2018,3,12282,891,0
assam,"sivasagar district",2018,3,17447,892,0
assam,"dibrugarh district",2018,3,40711,893,0
assam,"south salmara mancachar district",2018,3,4903,894,0
assam,"nagaon district",2018,3,40687,895,0
assam,"dhubri district",2018,3,22705,896,0
assam,"golaghat district",2018,3,21729,897,0
assam,"udalguri district",2018,3,11213,898,0
assam,"majuli district",2018,3,2739,899,0
assam,"sonitpur district",2018,3,38797,900,0
assam,"hojai district",2018,3,14769,901,0
assam,"marigaon district",2018,3,15934,902,0
assam,"chirang district",2018,3,7234,903,0
assam,"cachar district",2018,3,40888,904,0
assam,"nalbari district",2018,3,15082,905,0
assam,"west karbi anglong district",2018,3,2051,906,0
assam,"dhemaji district",2018,3,14771,907,0
assam,"karimganj district",2018,3,17088,908,0
assam,"bongaigaon district",2018,3,18869,909,0
assam,"dima hasao district",2018,3,4860,910,0
assam,"baksa district",2018,3,14459,911,0
assam,"charaideo district",2018,3,9516,912,0
assam,"darrang district",2018,3,16774,913,0
assam,"kamrup metropolitan district",2018,3,164101,914,0
assam,"hailakandi district",2018,3,12471,915,0
assam,"barpeta district",2018,3,41158,916,0
assam,"goalpara district",2018,3,20290,917,0
assam,"biswanath district",2018,3,11572,918,0
assam,"jorhat district",2018,3,32134,919,0
assam,"tinsukia district",2018,4,42624,920,0
assam,"lakhimpur district",2018,4,25253,921,0
assam,"kamrup district",2018,4,44868,922,0
assam,"kokrajhar district",2018,4,17317,923,0
assam,"karbi anglong district",2018,4,16359,924,0
assam,"sivasagar district",2018,4,23195,925,0
assam,"dibrugarh district",2018,4,52539,926,0
assam,"south salmara mancachar district",2018,4,6809,927,0
assam,"nagaon district",2018,4,54395,928,0
assam,"dhubri district",2018,4,30132,929,0
assam,"golaghat district",2018,4,28795,930,0
assam,"udalguri district",2018,4,15637,931,0
assam,"majuli district",2018,4,3882,932,0
assam,"sonitpur district",2018,4,51420,933,0
assam,"hojai district",2018,4,19400,934,0
assam,"marigaon district",2018,4,21518,935,0
assam,"chirang district",2018,4,9567,936,0
assam,"cachar district",2018,4,53209,937,0
assam,"nalbari district",2018,4,20512,938,0
assam,"west karbi anglong district",2018,4,2925,939,0
assam,"dhemaji district",2018,4,19530,940,0
assam,"karimganj district",2018,4,23348,941,0
assam,"bongaigaon district",2018,4,24766,942,0
assam,"dima hasao district",2018,4,6483,943,0
assam,"baksa district",2018,4,20047,944,0
assam,"charaideo district",2018,4,12563,945,0
assam,"darrang district",2018,4,22235,946,0
assam,"kamrup metropolitan district",2018,4,214212,947,0
assam,"hailakandi district",2018,4,16753,948,0
assam,"barpeta district",2018,4,55068,949,0
