State,District,Year,Quarter,RegisteredUsers,S.no,Appopens
andhra-pradesh,"chittoor district",2018,3,515727,99,0
andhra-pradesh,"east godavari district",2018,4,694455,100,0
andhra-pradesh,"srikakulam district",2018,4,284874,101,0
andhra-pradesh,"visakhapatnam district",2018,4,978288,102,0
andhra-pradesh,"prakasam district",2018,4,394962,103,0
andhra-pradesh,"anantapur district",2018,4,510892,104,0
andhra-pradesh,"kurnool district",2018,4,498582,105,0
andhra-pradesh,"guntur district",2018,4,659552,106,0
andhra-pradesh,"krishna district",2018,4,682479,107,0
andhra-pradesh,"spsr nellore district",2018,4,407495,108,0
andhra-pradesh,"vizianagaram district",2018,4,257824,109,0
andhra-pradesh,"ysr district",2018,4,387058,110,0
andhra-pradesh,"west godavari district",2018,4,435668,111,0
andhra-pradesh,"chittoor district",2018,4,665280,112,0
andhra-pradesh,"east godavari district",2019,1,839277,113,0
andhra-pradesh,"srikakulam district",2019,1,345775,114,0
andhra-pradesh,"visakhapatnam district",2019,1,1174517,115,0
andhra-pradesh,"prakasam district",2019,1,474260,116,0
andhra-pradesh,"anantapur district",2019,1,612162,117,0
andhra-pradesh,"kurnool district",2019,1,599422,118,0
andhra-pradesh,"guntur district",2019,1,802394,119,0
andhra-pradesh,"krishna district",2019,1,833694,120,0
andhra-pradesh,"spsr nellore district",2019,1,491908,121,0
andhra-pradesh,"vizianagaram district",2019,1,313334,122,0
andhra-pradesh,"ysr district",2019,1,460590,123,0
andhra-pradesh,"west godavari district",2019,1,523372,124,0
andhra-pradesh,"chittoor district",2019,1,812314,125,0
andhra-pradesh,"east godavari district",2019,2,945181,126,7156762
andhra-pradesh,"srikakulam district",2019,2,392764,127,3230330
andhra-pradesh,"visakhapatnam district",2019,2,1318740,128,13681907
andhra-pradesh,"prakasam district",2019,2,539462,129,4488365
andhra-pradesh,"anantapur district",2019,2,695114,130,6056591
andhra-pradesh,"kurnool district",2019,2,680118,131,6240480
andhra-pradesh,"guntur district",2019,2,915256,132,7268875
andhra-pradesh,"krishna district",2019,2,952300,133,7822632
andhra-pradesh,"spsr nellore district",2019,2,558303,134,4774473
andhra-pradesh,"vizianagaram district",2019,2,355058,135,3541678
andhra-pradesh,"ysr district",2019,2,519031,136,4345848
andhra-pradesh,"west godavari district",2019,2,592185,137,3853094
andhra-pradesh,"chittoor district",2019,2,925491,138,8914216
andhra-pradesh,"east godavari district",2019,3,1057167,139,28275322
andhra-pradesh,"srikakulam district",2019,3,437939,140,11813195
andhra-pradesh,"visakhapatnam district",2019,3,1460464,141,54836001
andhra-pradesh,"prakasam district",2019,3,598568,142,16267041
andhra-pradesh,"anantapur district",2019,3,773656,143,22845084
andhra-pradesh,"kurnool district",2019,3,755024,144,22827473
andhra-pradesh,"guntur district",2019,3,1026418,145,28477132
andhra-pradesh,"krishna district",2019,3,1066546,146,30077671
andhra-pradesh,"spsr nellore district",2019,3,619592,147,17768733
andhra-pradesh,"vizianagaram district",2019,3,394375,148,13065845
andhra-pradesh,"ysr district",2019,3,574109,149,15833900
andhra-pradesh,"west godavari district",2019,3,662102,150,14227407
andhra-pradesh,"chittoor district",2019,3,1032733,151,34638738
andhra-pradesh,"east godavari district",2019,4,1195228,152,38299189
andhra-pradesh,"srikakulam district",2019,4,496266,153,16353822
andhra-pradesh,"visakhapatnam district",2019,4,1620235,154,70749983
andhra-pradesh,"prakasam district",2019,4,673522,155,21639748
andhra-pradesh,"anantapur district",2019,4,873033,156,30278539
andhra-pradesh,"kurnool district",2019,4,846885,157,29676997
andhra-pradesh,"guntur district",2019,4,1158708,158,37846179
andhra-pradesh,"krishna district",2019,4,1199971,159,39407473
andhra-pradesh,"spsr nellore district",2019,4,697154,160,23608360
andhra-pradesh,"vizianagaram district",2019,4,443810,161,17515311
andhra-pradesh,"ysr district",2019,4,646642,162,21543798
andhra-pradesh,"west godavari district",2019,4,750078,163,19393528
andhra-pradesh,"chittoor district",2019,4,1156351,164,44888591
andhra-pradesh,"east godavari district",2020,1,1329664,165,46142746
andhra-pradesh,"srikakulam district",2020,1,552007,166,20975989
andhra-pradesh,"visakhapatnam district",2020,1,1763581,167,77558624
andhra-pradesh,"prakasam district",2020,1,748655,168,26870693
andhra-pradesh,"anantapur district",2020,1,971850,169,36900103
andhra-pradesh,"kurnool district",2020,1,936293,170,34198350
andhra-pradesh,"guntur district",2020,1,1289678,171,45282758
andhra-pradesh,"krishna district",2020,1,1331602,172,46079408
andhra-pradesh,"spsr nellore district",2020,1,775440,173,28879364
andhra-pradesh,"vizianagaram district",2020,1,490683,174,21562104
andhra-pradesh,"ysr district",2020,1,717865,175,26166193
andhra-pradesh,"west godavari district",2020,1,843835,176,24542868
andhra-pradesh,"chittoor district",2020,1,1270907,177,51354573
andhra-pradesh,"east godavari district",2020,2,1459116,178,45884498
andhra-pradesh,"srikakulam district",2020,2,608002,179,23808009
andhra-pradesh,"visakhapatnam district",2020,2,1904719,180,69684456
andhra-pradesh,"prakasam district",2020,2,830709,181,32255276
andhra-pradesh,"anantapur district",2020,2,1076953,182,39704703
andhra-pradesh,"kurnool district",2020,2,1035093,183,36268390
andhra-pradesh,"guntur district",2020,2,1426271,184,44267596
andhra-pradesh,"krishna district",2020,2,1459041,185,41234166
andhra-pradesh,"spsr nellore district",2020,2,854459,186,30816403
andhra-pradesh,"vizianagaram district",2020,2,537798,187,24370380
andhra-pradesh,"ysr district",2020,2,796769,188,29644037
andhra-pradesh,"west godavari district",2020,2,944829,189,26583613
andhra-pradesh,"chittoor district",2020,2,1385916,190,49820171
andhra-pradesh,"east godavari district",2020,3,1601940,191,64292857
andhra-pradesh,"srikakulam district",2020,3,667858,192,31794753
andhra-pradesh,"visakhapatnam district",2020,3,2058346,193,102589371
andhra-pradesh,"prakasam district",2020,3,915240,194,44970519
andhra-pradesh,"anantapur district",2020,3,1186851,195,55714787
andhra-pradesh,"kurnool district",2020,3,1132240,196,49164718
andhra-pradesh,"guntur district",2020,3,1567595,197,62427501
andhra-pradesh,"krishna district",2020,3,1599289,198,61028114
andhra-pradesh,"spsr nellore district",2020,3,937176,199,43951448
andhra-pradesh,"vizianagaram district",2020,3,587784,200,31199437
andhra-pradesh,"ysr district",2020,3,877909,201,41578067
andhra-pradesh,"west godavari district",2020,3,1053674,202,38126238
andhra-pradesh,"chittoor district",2020,3,1506503,203,69462572
andhra-pradesh,"east godavari district",2020,4,1746280,204,82605352
andhra-pradesh,"srikakulam district",2020,4,726761,205,36770992
andhra-pradesh,"visakhapatnam district",2020,4,2209658,206,124730170
andhra-pradesh,"prakasam district",2020,4,999462,207,52839846
andhra-pradesh,"anantapur district",2020,4,1295872,208,69562398
andhra-pradesh,"kurnool district",2020,4,1230466,209,60615045
andhra-pradesh,"guntur district",2020,4,1712940,210,81291172
andhra-pradesh,"krishna district",2020,4,1744028,211,81787771
andhra-pradesh,"spsr nellore district",2020,4,1022944,212,54765443
andhra-pradesh,"vizianagaram district",2020,4,634462,213,35110885
andhra-pradesh,"ysr district",2020,4,959182,214,49596303
andhra-pradesh,"west godavari district",2020,4,1163179,215,51170162
andhra-pradesh,"chittoor district",2020,4,1631331,216,88232999
andhra-pradesh,"east godavari district",2021,1,1878769,217,91478749
andhra-pradesh,"srikakulam district",2021,1,782604,218,40590058
andhra-pradesh,"visakhapatnam district",2021,1,2368081,219,135908324
andhra-pradesh,"prakasam district",2021,1,1075936,220,56911479
andhra-pradesh,"anantapur district",2021,1,1394849,221,73375049
andhra-pradesh,"kurnool district",2021,1,1323411,222,65326230
andhra-pradesh,"guntur district",2021,1,1843237,223,92731167
andhra-pradesh,"krishna district",2021,1,1876458,224,92941553
andhra-pradesh,"spsr nellore district",2021,1,1100541,225,60691988
